l01	l02	l03	l04	l05	l06	l07	l08	id	origin	data type	role	note
authMenu								1		project		
	DocumentProperties							2		DocumentProperties		
		ログイン認証関係						3				
		passcodeDigits						4		{number}=6	パスコードの桁数	
		loginRetryInterval						5		{number}=3600000	前回ログイン失敗(凍結)から再挑戦可能になるまでの時間(ミリ秒)	
		numberOfLoginAttempts						6		{number}=3	ログイン失敗になるまでの試行回数	
		loginGraceTime						7		{number}=900000	パスコード生成からログインまでの猶予時間(ミリ秒)	
		notificatePasscodeMail						8		{Object}	パスコード連絡メールのテンプレート	
			subject					9		{string}='[連絡] パスコード'		
			body					10		{string}='パスコードは以下の通りです。\n\n::passcode::'		
			options					11		{Object}={}		
		ユーザ情報関係						12				
		userLoginLifeTime						13		{number}=86400000	クライアント側ログイン(CPkey)有効期間	
		defaultAuth						14		{number}=2	新規登録者に設定する権限	
		userIdStartNumber						15		{number}=1	ユーザID(数値)の開始値	
		シート定義関係						16				
		masterSheet						17		{string}='master'	参加者マスタのシート名	
		primatyKeyColumn						18		{string}='userId'	主キーとなる項目名。主キー項目の値は数値で設定	
		emailColumn						19		{string}='email'	e-mailを格納するシート上の項目名	
		サーバ側RSAキー関連情報						20				
		passPhrase						21		{string}=null	パスフレーズ	
		passPhraseLength						22		{number}=16	authServerのパスフレーズの長さ	
		bits						23		{number}=1024	RSAキーのビット長	
		passPhrase						24		{string}	サーバ側RSA鍵のパスフレーズ	
		SPkey						25		{string}	サーバ側公開鍵	
		authServerメソッド関係						26				
		allow						27		{Object.<string,number>}	authServerのメソッド実行に必要な権限	
	sheet "master"							28		Sheet		
		userId						29				
		created						30				
		email						31				
		auth						32				
		CPkey						33				
		updated						34				
		trial						35				
	localStorage							36		localStorage		
		userId						37				
	sessionStorage							38		sessionStorage		
								39				
	index.html							40		Apps Script		
		authClient						41		{class}	authMenuクライアント側の処理をまとめたクラス	旧authMenu
			メンバ変数					42				
				wrapper				43		{HTMLElement}='.authMenu[name="wrapper"]'	メニュー全体を囲む要素。body不可	
				icon				44		{HTMLElement}	メニューアイコンとなるHTML要素	
				navi				45		{HTMLElement}	ナビ領域となるHTML要素	
				back				46		{HTMLElement}	ナビ領域の背景となるHTML要素	
				userIdSelector				47				
				publicAuth				48				
				memberAuth				49				
				allow				50				
				func				51				
				home				52				
				initialSubMenu				53				
				css				54				
				RSAkeyLength				55				
				passPhraseLength				56				
				user				57				
					userId			58			ユーザID	
					auth			59			ユーザ(クライアント)の権限	
				screenAttr				60				
			constructor()					61		{method}		
				引数				62				
				戻り値				63				
			changeScreen()					64		{method}	適宜認証を行った上で画面を切り替える	
				引数				65				
				戻り値				66				
			genNavi()					67		{method}	親要素を走査してナビゲーションを作成	
				引数				68				
				戻り値				69				
			objectize()					70		{method}	data-menu属性の文字列をオブジェクトに変換	
				引数				71				
				戻り値				72				
			setProperties()					73		{method}	constructorの引数と既定値からthisの値を設定	
				引数				74	62		constructorに渡された引数オブジェクト	
								75				
				戻り値				76		{null}		
			storeUserInto()					77		{method}	インスタンス変数やstorageに保存したユーザ情報を更新	
				引数				78				
				戻り値				79				
			doGAS()					80		{method}	authMenu用の既定値をセットしてdoGASを呼び出し	
				引数				81				
				戻り値				82				
			toggle()					83		{method}	ナビゲーション領域の表示/非表示切り替え	
				引数				84				
				戻り値				85				
			showChildren()					86		{method}	ブランチの下位階層メニュー表示/非表示切り替え	
				引数				87				
				戻り値				88				
	server.gs							89		Apps Script	authMenuサーバ側の処理	
		authFront						90		{function}	authMenuサーバ側のフロント。適宜authServerのメソッドを呼び出す	
		authServer						91		{class}	authMenuサーバ側の処理をまとめたクラス	
			メンバ変数					92				
				prop				93	3	{Object}	DocumentPropertiesのサーバ側設定値	
			constructor()					94		{method}	事前準備。シートからユーザ情報全権取得、引数のオブジェクト化	旧preProcess
			getUserInfo()					95		{method}	authClientからの要求を受け、ユーザ情報と状態を返す	
			sendPasscode()					96		{method}	指定ユーザにパスコード連絡メールを発信する	
			verifyPasscode()					97		{method}	入力されたパスコードの検証	
								98				
								99				
	setProperties.gs							100		Apps Script	authMenuサーバ側の設定値をDocumentPropertiesに設定	
		setProperties()						101		{function}		
			引数					102				
			更新					103				
				DocumentProperties				104	2			
			戻り値					105				
